200922-949-52	\sqrt { \gamma }
formulaire027-equation005	1 3 3 + ( ( 1 8 4 + 6 7 ) \div 1 2 3 ) = 1 3 5 . 0 4
KME2G3_10_sub_28	z _ { 1 } ^ { 2 } + 1 ^ { z } - z _ { 2 } ^ { 2 } + 2 ^ { z }
formulaire011-equation066	g ( X ) = \sqrt { \sum \limits _ { i = 1 } ^ { n } f _ { i } ( x _ { i } - X ) ^ { 2 } }
200922-947-30	\frac { - b + \sqrt { b ^ { 2 } - 4 a c } } { 2 a }
KME2G3_8_sub_30	\sum \limits _ { i = 2 n + 3 m } ^ { 1 0 } i x
formulaire016-equation074	e ^ { - x } + 0 , 2 x - 1 = 0
200926-1617-84	\frac { x } { a + \frac { x } { b - \frac { x } { c } } }
formulaire028-equation070	( ( 1 9 1 / 1 1 1 ) - 1 8 7 ) + ( 9 3 - ( 2 2 / 1 8 9 ) ) \geq - 9 2
200924-1312-30	\frac { - b + \sqrt { b ^ { 2 } - 4 a c } } { 2 a }
2009213-139-30	\frac { - b + \sqrt { b ^ { 2 } - 4 a c } } { 2 a }
2009220-1327-6	\sum \limits _ { n = 1 } ^ { N } ( - 1 ) ^ { n } \sin ( n x )
MfrDB1811	\frac { a _ { 1 } + a _ { 2 } + a ^ { 3 } } { 1 - x }
formulaire012-equation061	\sum a _ { n } \cos ( n x ) + b _ { n } \sin ( n x )
formulaire017-equation014	x _ { 1 } = - \frac { b } { 2 a } + p
formulaire031-equation006	\log _ { a } b = \frac { \log _ { c } b } { \log _ { c } a }
129_silas	1 + 2 + \cdots + n = \frac { n ( n + 1 ) } { 2 }
MfrDB3453	t g 2 x = \frac { 2 \cdot t g x } { 1 - t g ^ { 2 } x }
formulaire024-equation000	4 6 \pm ( ( 9 5 / 7 9 ) / 7 5 ) + ( 5 5 / 6 5 )
formulaire036-equation044	a = \frac { ( d _ { 1 } + d _ { 2 } ) } { 2 } = \frac { m ( z _ { 1 } + z _ { 2 } ) } { 2 }
formulaire016-equation016	e ^ { i x } = \cos ( x ) + i \sin ( x )
TrainData2_9_sub_29	x ^ { i + 2 j \times k ^ { 3 } - 2 \frac { j } { i } }
formulaire032-equation067	u _ { n + 2 } = u _ { n } - q _ { n + 2 } u _ { n + 1 }
TrainData2_17_sub_29	x ^ { i + 2 j \times k ^ { 3 } - 2 \frac { j } { i } }
200923-1254-30	\frac { - b + \sqrt { b ^ { 2 } - 4 a c } } { 2 a }
KME2G3_29_sub_30	\sum \limits _ { i = 2 n + 3 m } ^ { 1 0 } i x
formulaire019-equation045	( ( 6 3 \div 1 3 2 ) + 4 ) \div 9 6 = 0 . 0 5
75_alfonso	c ^ { 2 } = a ^ { 2 } + b ^ { 2 } - 2 a b \cos C
2009213-139-36	1 + \frac { \sqrt { a ^ { 2 } + 1 + b } } { 3 }
TrainData2_18_sub_29	x ^ { i + 2 j \times k ^ { 3 } - 2 \frac { j } { i } }
MfrDB1787	\frac { a _ { 1 } + a _ { 2 } + a _ { 3 } } { 1 - x }
formulaire009-equation040	1 0 8 - ( 2 2 \times ( 1 7 + 1 3 5 ) ) = - 3 2 3 6
formulaire004-equation055	( 1 5 9 - 1 6 2 - 5 2 ) + ( ( 1 2 8 / 1 6 9 ) - ( 1 4 \times 1 3 ) ) = - 1 3 2 . 2 4
TrainData1_8_sub_15	F _ { n } = F _ { n - 1 } + F _ { n - 2 }
KME2G3_24_sub_30	\sum \limits _ { i = 2 n + 3 m } ^ { 1 0 } i x
TrainData2_2_sub_39	\sin x - \sin y - \sin ( x - y )
formulaire004-equation019	e ^ { i m x } - e ^ { - i m x } = 2 i \sin ( m x )
KME2G3_1_sub_30	\sum \limits _ { i = 2 n + 3 m } ^ { 1 0 } i x
formulaire018-equation070	( ( 7 \div 3 ) \div 1 8 7 ) - 7 0 \neq - 2 8
116_user0	x = \frac { - b \pm \sqrt { b ^ { 2 } - 4 a c } } { 2 a }
116_rosario	x = \frac { - b \pm \sqrt { b ^ { 2 } - 4 a c } } { 2 a }
KME2G3_26_sub_26	x _ { 1 } \times x _ { 2 } \times x _ { 3 } \times x _ { 4 } = X
MfrDB1470	\sum \limits _ { i = 1 } ^ { n } i = \frac { 1 } { 2 } n ( n + 1 )
MfrDB3489	V = a \cdot b \cdot c
formulaire006-equation052	\theta = \frac { \alpha } { 1 8 0 } \pi
2009213-137-6	\sum \limits _ { n = 1 } ^ { N } ( - 1 ) ^ { n } \sin ( n x )
116_Nina	x = \frac { - b \pm \sqrt { b ^ { 2 } - 4 a c } } { 2 a }
formulaire025-equation035	( ( 1 6 9 \times 1 6 4 ) / 1 2 0 ) + ( 3 7 \times 1 0 3 ) \neq - 3 9 5 3
79_silas	p = \sqrt { a ^ { 2 } + b ^ { 2 } - 2 a b \cos A }
formulaire008-equation013	( a + b ) ^ { 2 } = a ^ { 2 } + 2 a b + b ^ { 2 }
formulaire016-equation037	d _ { 1 , - 1 } ^ { 1 } = \frac { 1 - \cos \theta } { 2 }
formulaire009-equation005	( 1 9 3 - ( 1 9 7 \times 1 5 3 ) ) \times 7 7 \neq - 6 7 5 3 4
formulaire012-equation071	( x + y ) ^ { 2 } = x ^ { 2 } + y ^ { 2 } + 2 x y
formulaire034-equation007	q = \sum \limits _ { i = 1 } ^ { r } c _ { i } l _ { i } ^ { 2 }
129_rosario	1 + 2 + \cdots + n = \frac { n ( n + 1 ) } { 2 }
formulaire036-equation069	e _ { ( 1 , 0 ) } = \frac { y _ { 2 } - y _ { 1 } } { x _ { 2 } - x _ { 1 } }
129_Frank	1 + 2 + \cdots + n = \frac { n ( n + 1 ) } { 2 }
formulaire002-equation017	u _ { 1 } = e ^ { \frac { 2 i \pi } { 9 } }
formulaire002-equation011	X = \frac { x } { 2 7 } + \frac { y } { 1 3 }
200923-1251-78	\frac { x _ { 1 } } { \frac { x _ { 2 } } { \frac { x _ { 3 } } { x _ { 4 } } } }
formulaire003-equation070	( 1 6 6 + ( 9 3 \times 6 7 ) ) - ( 6 4 + 1 2 7 + 1 7 6 ) \leq 6 0 3 0
200923-1253-6	\sum \limits _ { n = 1 } ^ { N } ( - 1 ) ^ { n } \sin ( n x )
formulaire002-equation022	z = ( a - b ) e ^ { i t } + d e ^ { - i ( q - 1 ) t }
200926-131-31	\frac { - b - \sqrt { b ^ { 2 } - 4 a c } } { 2 a }
KME2G3_16_sub_30	\sum \limits _ { i = 2 n + 3 m } ^ { 1 0 } i x
MfrDB3180	g ( x , y ) = \sqrt [ 3 ] { x - y } + \sqrt { | x + y | }
108_bruno	a ^ { x } a ^ { y } = a ^ { x + y }
formulaire032-equation002	z ^ { 3 } ( X ) = \sum \limits _ { i = 1 } ^ { n } x _ { i } p _ { i } ^ { 3 }
formulaire032-equation071	a = e ^ { 4 } a _ { 3 } + 4 c e ^ { 3 } a _ { 4 }
formulaire036-equation052	x _ { k + 1 } = x _ { k } + \alpha _ { k } p _ { k }
200924-1312-36	1 + \frac { \sqrt { a ^ { 2 } + 1 + b } } { 3 }
79_alfonso	p = \sqrt { a ^ { 2 } + b ^ { 2 } - 2 a b \cos A }
formulaire011-equation009	u _ { n + 2 } = 2 u _ { n + 1 } + u _ { n }
formulaire004-equation018	- 9 0 a _ { 6 } a _ { 5 } a _ { 4 } + 1 3 5 a _ { 6 } ^ { 2 } a _ { 3 } = 0
TrainData2_26_sub_29	x ^ { i + 2 j \times k ^ { 3 } - 2 \frac { j } { i } }
formulaire005-equation074	s _ { k } = r _ { 1 } ^ { k } + \ldots + r _ { n } ^ { k }
KME2G3_4_sub_30	\sum \limits _ { i = 2 n + 3 m } ^ { 1 0 } i x
MfrDB1945	\frac { T _ { 1 } ^ { 2 } } { T _ { 2 } ^ { 2 } } = \frac { a _ { 1 } ^ { 3 } } { a _ { 2 } ^ { 2 } }
formulaire033-equation000	1 4 5 - ( ( 1 2 - 1 2 8 ) \div ( 1 1 2 \div 3 7 ) ) = 1 8 3 . 3 2
2009212-952-30	\frac { - b + \sqrt { b ^ { 2 } - 4 a c } } { 2 a }
formulaire012-equation010	1 2 5 \pm 1 4 0 + ( ( 1 5 4 - 4 2 ) \times 1 7 8 )
formulaire026-equation007	t v = \sqrt { ( 9 0 ) ^ { 2 } + ( 1 1 0 , 8 ) ^ { 2 } } = 1 4 2 , 7
formulaire025-equation068	( y + z ) \times x = ( y \times x ) + ( z \times x )
formulaire025-equation048	7 \times 5 = 7 + 7 + 7 + 7 + 7 = 3 5
formulaire013-equation001	x ^ { 2 } - b ^ { 2 } = ( x - b ) ( x + b )
formulaire006-equation040	1 7 2 - 1 1 1 - 5 5 - 1 8 7 \neq - 8 3
formulaire024-equation040	0 \pm 1 8 6 + 3 3 - 1 7 0 - 6 3
2009220-1327-20	\frac { \sin ( x ) } { \cos ( x ) } = \tan ( x )
2009212-952-78	\frac { x _ { 1 } } { \frac { x _ { 2 } } { \frac { x _ { 3 } } { x _ { 4 } } } }
79_hirata	p = \sqrt { a ^ { 2 } + b ^ { 2 } - 2 a b \cos A }
TrainData2_0_sub_29	x ^ { i + 2 j \times k ^ { 3 } - 2 \frac { j } { i } }
formulaire010-equation030	( 2 1 - 1 2 8 ) \times ( ( 2 5 - 5 5 ) \times 5 0 ) \geq 1 6 0 4 9 9
MfrDB1728	\frac { T _ { 1 } ^ { 2 } } { T _ { 2 } ^ { 2 } } = \frac { a _ { 1 } ^ { 3 } } { a _ { 2 } ^ { 3 } }
formulaire030-equation044	\frac { a \sqrt { 5 } } { 2 } h = \frac { a } { 2 } a
TrainData1_5_sub_19	x = \frac { - b \pm \sqrt { b ^ { 2 } - 4 a c } } { 2 a }
formulaire008-equation004	u ( c ) = \frac { 1 } { b - a } \int \limits _ { a } ^ { b } u ( t ) d t
formulaire024-equation035	1 4 6 \pm 1 7 8 / ( ( 1 7 0 \times 1 1 3 ) + 1 3 3 )
MfrDB3415	\frac { 5 } { x + 1 } + \frac { 5 } { x ^ { 2 } + x }
KME2G3_19_sub_28	z _ { 1 } ^ { 2 } + 1 ^ { z } - z _ { 2 } ^ { 2 } + 2 ^ { z }
2009213-137-20	\frac { \sin ( x ) } { \cos ( x ) } = \tan ( x )
TrainData1_2_sub_7	\tan z = \frac { \sin z } { \cos z }
79_Frank	p = \sqrt { a ^ { 2 } + b ^ { 2 } - 2 a b \cos A }
formulaire023-equation019	\lim \limits _ { n \rightarrow + \infty } ( u _ { n } ) = 0
TrainData2_20_sub_29	x ^ { i + 2 j \times k ^ { 3 } - 2 \frac { j } { i } }
116_jorge	x = \frac { - b \pm \sqrt { b ^ { 2 } - 4 a c } } { 2 a }
MfrDB0114	x ^ { k } + y ^ { k } \leq ( x + y ) ^ { k + 2 }
200924-1312-62	( \sin ( x ) ^ { 2 } + 3 \cos ( x ) ^ { 2 } ) ^ { 4 }
MfrDB2143	\frac { T _ { 1 } ^ { 2 } } { T _ { 2 } ^ { 2 } } = \frac { a _ { 1 } ^ { 3 } } { a _ { 2 } ^ { 3 } }
116_leissi	x = \frac { - b \pm \sqrt { b ^ { 2 } - 4 a c } } { 2 a }
TrainData2_17_sub_39	\sin x - \sin y - \sin ( x - y )
formulaire006-equation045	4 0 - ( 1 3 4 - ( 1 4 4 \div 1 5 4 ) ) \geq - 9 3
TrainData2_24_sub_6	x _ { i } - x _ { i + 1 } + x _ { i + 2 }
MfrDB2139	E _ { k } = \frac { 1 } { 2 } m _ { 1 } v _ { 1 } ^ { 2 } + \frac { 1 } { 2 } m _ { 2 } v _ { 2 } ^ { 2 }
TrainData2_6_sub_29	x ^ { i + 2 j \times k ^ { 3 } - 2 \frac { j } { i } }
MfrDB2087	\frac { b } { a ^ { 2 } - a } - \frac { b } { a - 1 }
TrainData1_4_sub_19	x = \frac { - b \pm \sqrt { b ^ { 2 } - 4 a c } } { 2 a }
formulaire031-equation069	\lim \limits _ { t \rightarrow t _ { 0 } } \frac { y ( t ) } { x ( t ) } = a
200923-1251-84	\frac { x } { a + \frac { x } { b - \frac { x } { c } } }
MfrDB1523	A ( x ) = \frac { 1 } { x } + \frac { 1 } { x ^ { 2 } } + B ( x )
TrainData2_1_sub_29	x ^ { i + 2 j \times k ^ { 3 } - 2 \frac { j } { i } }
79_Fabricio	p = \sqrt { a ^ { 2 } + b ^ { 2 } - 2 a b \cos A }
200926-131-6	\sum \limits _ { n = 1 } ^ { N } ( - 1 ) ^ { n } \sin ( n x )
formulaire016-equation047	n _ { 1 } + \ldots + n _ { i - 1 } + 1
formulaire022-equation058	X ^ { 2 } - 2 \times \frac { 5 } { 4 } X + 1 = 0
KME2G3_6_sub_30	\sum \limits _ { i = 2 n + 3 m } ^ { 1 0 } i x
79_edwin	p = \sqrt { a ^ { 2 } + b ^ { 2 } - 2 a b \cos A }
formulaire007-equation010	1 4 6 \times ( 1 0 1 + 1 5 7 - 1 8 1 ) = 1 1 2 4 2
formulaire022-equation018	n _ { 1 } \sin i _ { 1 } = n _ { 2 } \sin i _ { 2 }
118_herbert	P ( x ) = \sum \limits _ { i = 0 } ^ { n } a _ { j } x ^ { j }
formulaire023-equation065	( 1 5 3 \times ( 2 9 - 5 5 ) ) + ( ( 1 3 5 + 1 0 7 ) / 1 7 ) \neq 5 2 9
formulaire016-equation010	1 3 6 \times ( 6 0 - 1 9 6 + 1 8 8 ) \geq 7 0 7 1
116_david	x = \frac { - b \pm \sqrt { b ^ { 2 } - 4 a c } } { 2 a }
formulaire012-equation016	2 5 = 1 + 3 \times 8 = 1 + 3 \times ( 2 + 3 \times 2 )
formulaire020-equation060	9 5 + ( ( 1 3 8 \div 3 6 ) \div ( 8 6 \div 1 3 1 ) ) \leq 1 0 1
200924-1312-6	\sum \limits _ { n = 1 } ^ { N } ( - 1 ) ^ { n } \sin ( n x )
formulaire013-equation012	m _ { 1 } = \frac { h ( X _ { 1 } ) + \ldots + h ( X _ { n } ) } { n }
formulaire039-equation055	( 2 7 \times ( 1 6 1 + 5 1 ) ) + ( ( 1 3 1 + 1 7 7 ) \div 1 4 4 ) \geq 5 7 2 5
formulaire024-equation021	n _ { 1 } \sin ( \theta _ { 1 } ) = n _ { 2 } \sin ( \theta _ { 2 } )
81_jorge	A _ { 2 k } = \frac { 2 R A _ { k } } { 2 R + \sqrt { 4 R ^ { 2 } + A _ { k } ^ { 2 } } }
formulaire019-equation005	1 3 9 \pm ( 1 8 4 \times ( 5 4 + 1 0 2 ) ) + ( ( 1 7 8 \div 1 6 9 ) + 2 7 )
formulaire012-equation034	s = b _ { k } - \frac { b _ { k } - b _ { k - 1 } } { f ( b _ { k } ) - f ( b _ { k - 1 } ) } f ( b _ { k } )
formulaire026-equation010	( 2 6 \times ( 1 0 9 + 4 ) ) + ( 9 5 - 1 4 5 - 1 4 9 ) = 3 0 3 7
TrainData2_8_sub_39	\sin x - \sin y - \sin ( x - y )
formulaire008-equation053	d s ^ { 2 } = d x ^ { 2 } + d y ^ { 2 } + d z ^ { 2 }
formulaire032-equation006	2 ^ { 6 7 } - 1 = 1 9 3 7 0 7 7 2 1 \times 7 6 1 8 3 8 2 5 7 2 8 7
formulaire033-equation002	( x ^ { 0 } , x ^ { 1 } , x ^ { 2 } , x ^ { 3 } ) = ( t , r , \theta , \phi )
79_bruno	p = \sqrt { a ^ { 2 } + b ^ { 2 } - 2 a b \cos A }
formulaire022-equation063	a ^ { x + y } = a ^ { x } a ^ { y }
formulaire018-equation045	( 1 9 6 \times ( 7 1 \div 1 6 6 ) ) - 3 6 \neq 6 5
formulaire015-equation023	X _ { 1 } = \frac { - 2 + 2 i } { 2 } = - 1 + i
200926-1550-78	\frac { x _ { 1 } } { \frac { x _ { 2 } } { \frac { x _ { 3 } } { x _ { 4 } } } }
79_miguel	p = \sqrt { a ^ { 2 } + b ^ { 2 } - 2 a b \cos A }
formulaire005-equation008	2 ^ { 3 } + 1 6 ^ { 3 } = 9 ^ { 3 } + 1 5 ^ { 3 } = 4 1 0 4
TrainData2_3_sub_29	x ^ { i + 2 j \times k ^ { 3 } - 2 \frac { j } { i } }
formulaire007-equation018	y ^ { 2 } = \frac { x ^ { 3 } } { 2 a - x }
118_miguel	P ( x ) = \sum \limits _ { i = 0 } ^ { n } a _ { j } x ^ { j }
formulaire024-equation005	( 1 2 6 \times 1 1 ) - ( 1 6 5 / 1 0 ) \leq 1 3 7 0
MfrDB2586	\frac { a _ { 1 } + a _ { 2 } + a ^ { 3 } } { 1 - x }
MfrDB3113	( x + 1 ) ^ { n + 1 } = ( x + 1 ) ( x + 1 ) ^ { n }
formulaire036-equation074	u _ { n } = \frac { n ^ { 2 } - n + 1 } { n ^ { 2 } }
formulaire006-equation008	x ^ { 2 } - x - 1 = 0
TrainData2_22_sub_29	x ^ { i + 2 j \times k ^ { 3 } - 2 \frac { j } { i } }
formulaire030-equation073	x ^ { 5 } - x + 1 = 0
MfrDB2291	\frac { 5 x - 7 } { 3 } \leq 2 x + 5
TrainData2_25_sub_29	x ^ { i + 2 j \times k ^ { 3 } - 2 \frac { j } { i } }
TrainData2_2_sub_6	x _ { i } - x _ { i + 1 } + x _ { i + 2 }
TrainData1_6_sub_19	x = \frac { - b \pm \sqrt { b ^ { 2 } - 4 a c } } { 2 a }
KME2G3_25_sub_30	\sum \limits _ { i = 2 n + 3 m } ^ { 1 0 } i x
TrainData2_14_sub_17	x _ { 1 } - x _ { 2 } + y _ { 1 } - y _ { 2 } + z _ { 1 } - z _ { 2 }
MfrDB1283	E _ { k } = \frac { 1 } { 2 } m _ { 1 } v _ { 1 } ^ { 2 } + \frac { 1 } { 2 } m _ { 2 } v _ { 2 } ^ { 2 }
KME2G3_1_sub_26	x _ { 1 } \times x _ { 2 } \times x _ { 3 } \times x _ { 4 } = X
129_Fabricio	1 + 2 + \cdots + n = \frac { n ( n + 1 ) } { 2 }
200924-1312-273	\frac { j ( s ) - \sum X } { S _ { X _ { f } } } \sum F
TrainData1_8_sub_19	x = \frac { - b \pm \sqrt { b ^ { 2 } - 4 a c } } { 2 a }
formulaire018-equation073	\frac { 1 } { 2 } a + \sqrt { \frac { 1 } { 4 } a a + b b }
MfrDB2095	\frac { 5 x - 7 } { 3 } \leq 2 x + 5
formulaire006-equation070	8 3 \pm ( ( 1 7 9 \div 2 3 ) - ( 1 4 9 + 1 5 1 ) ) \div 8 8
MfrDB1136	y = \frac { - a \pm \sqrt { b ^ { 2 } - 4 a c } } { 2 a }
formulaire006-equation036	\cos ( 2 x ) = \cos ^ { 2 } ( x ) - \sin ^ { 2 } ( x )
formulaire009-equation065	( 5 6 \times ( 8 1 \div 1 4 1 ) ) + ( 2 2 - 5 ) \geq 4 8
formulaire012-equation002	u ^ { 3 } + v ^ { 3 } = - \frac { 9 5 } { 5 4 }
MfrDB3870	\frac { a _ { 1 } + a _ { 2 } + a ^ { 3 } } { 1 - x }
MfrDB2346	\sin x = \sin ( x + 2 \pi k )
formulaire023-equation040	( 3 9 \div 4 0 ) + ( 1 6 8 \times 1 2 2 ) \leq 2 0 4 9 7
200923-1556-79	\frac { \frac { \frac { x _ { 4 } } { x _ { 3 } } } { x _ { 2 } } } { x _ { 1 } }
75_Fabricio	c ^ { 2 } = a ^ { 2 } + b ^ { 2 } - 2 a b \cos C
200923-1254-79	\frac { \frac { \frac { x _ { 4 } } { x _ { 3 } } } { x _ { 2 } } } { x _ { 1 } }
formulaire012-equation004	\frac { d } { d x } l n ( x ) = \frac { 1 } { x }
200926-131-84	\frac { x } { a + \frac { x } { b - \frac { x } { c } } }
129_jorge	1 + 2 + \cdots + n = \frac { n ( n + 1 ) } { 2 }
formulaire029-equation042	8 y ^ { 3 } - 4 p y ^ { 2 } - 8 r y + 4 r p - q ^ { 2 } = 0
formulaire021-equation002	y _ { 1 } + \ldots + y _ { n + 1 } = 0
formulaire030-equation060	( 1 2 1 + ( 1 2 0 \times 5 ) ) \times ( 1 9 3 \times 2 7 ) \geq 3 7 5 7 1 3 0
formulaire008-equation020	8 6 \div ( 1 8 + 2 1 + 1 4 1 + 2 ) = 0 . 4 7
200923-131-31	\frac { - b - \sqrt { b ^ { 2 } - 4 a c } } { 2 a }
MfrDB2497	\frac { 5 x - 7 } { 3 } \leq 2 x + 5
75_Frank	c ^ { 2 } = a ^ { 2 } + b ^ { 2 } - 2 a b \cos C
MfrDB1595	\frac { T _ { 1 } ^ { 2 } } { T _ { 2 } ^ { 2 } } = \frac { a _ { 1 } ^ { 3 } } { a _ { 2 } ^ { 3 } }
formulaire029-equation022	\sum \limits _ { j = 1 } ^ { i } x _ { j } ^ { p } \leq 9 ^ { p } i
formulaire022-equation012	w ( p ( s ( X ) , Y ) ) = 2 w ( s ( X ) ) + w ( Y ) = 2 + 2 w ( X ) + w ( Y )
MfrDB2901	x _ { 1 } = \frac { ( 1 - \frac { 2 } { \sqrt { N - 1 } } ) N } { L }
formulaire028-equation037	f ( x , y ) = 2 \sin ( x ) - 3 y ^ { 3 } + 5
116_caue	x = \frac { - b \pm \sqrt { b ^ { 2 } - 4 a c } } { 2 a }
formulaire002-equation074	h _ { 2 } + \frac { h _ { 1 } ( h _ { 3 } ^ { 2 } + h _ { 2 } ^ { 2 } ) } { h _ { 3 } h _ { 0 } - h _ { 2 } h _ { 1 } } = 0
81_leo	A _ { 2 k } = \frac { 2 R A _ { k } } { 2 R + \sqrt { 4 R ^ { 2 } + A _ { k } ^ { 2 } } }
MfrDB3343	\frac { T _ { 1 } ^ { 2 } } { T _ { 2 } ^ { 2 } } = \frac { a _ { 1 } ^ { 3 } } { a _ { 2 } ^ { 3 } }
formulaire009-equation057	\frac { l _ { 2 } } { l _ { 1 } } = \frac { l _ { 3 } } { l _ { 2 } } = \frac { l _ { 1 } + l _ { 2 } } { l _ { 3 } }
formulaire025-equation031	x = 2 \times 7 0 + 3 \times 2 1 + 2 \times 1 5 = 2 3 3
200922-947-78	\frac { x _ { 1 } } { \frac { x _ { 2 } } { \frac { x _ { 3 } } { x _ { 4 } } } }
formulaire036-equation008	\sum \limits _ { k = 1 } ^ { n } k = \frac { n ( n + 1 ) } { 2 }
formulaire019-equation014	\frac { 1 - q } { ( u + q ) ^ { 2 } } + u = 0
formulaire029-equation045	( ( 1 0 4 - 1 6 2 ) \times 1 5 2 ) \times ( 7 9 + 1 0 6 ) \geq - 1 6 3 0 9 6 0
formulaire022-equation066	6 x ^ { 3 } - 6 x ^ { 2 } + 1 2 x + 7 = 0
MfrDB1443	\frac { a _ { 1 } + a _ { 2 } + a ^ { 3 } } { 1 - x }
2009213-137-31	\frac { - b - \sqrt { b ^ { 2 } - 4 a c } } { 2 a }
200923-1254-78	\frac { x _ { 1 } } { \frac { x _ { 2 } } { \frac { x _ { 3 } } { x _ { 4 } } } }
KME2G3_18_sub_30	\sum \limits _ { i = 2 n + 3 m } ^ { 1 0 } i x
200924-1312-31	\frac { - b - \sqrt { b ^ { 2 } - 4 a c } } { 2 a }
81_herbert	A _ { 2 k } = \frac { 2 R A _ { k } } { 2 R + \sqrt { 4 R ^ { 2 } + A _ { k } ^ { 2 } } }
2009210-947-84	\frac { x } { a + \frac { x } { b - \frac { x } { c } } }
81_leissi	A _ { 2 k } = \frac { 2 R A _ { k } } { 2 R + \sqrt { 4 R ^ { 2 } + A _ { k } ^ { 2 } } }
KME2G3_15_sub_30	\sum \limits _ { i = 2 n + 3 m } ^ { 1 0 } i x
81_danilo	A _ { 2 k } = \frac { 2 R A _ { k } } { 2 R + \sqrt { 4 R ^ { 2 } + A _ { k } ^ { 2 } } }
formulaire009-equation035	( 1 6 5 / ( 1 6 5 + 1 4 6 ) ) + ( ( 1 1 6 \times 1 1 8 ) + 4 9 ) = 1 3 7 3 7 . 5 3
81_silas	A _ { 2 k } = \frac { 2 R A _ { k } } { 2 R + \sqrt { 4 R ^ { 2 } + A _ { k } ^ { 2 } } }
formulaire030-equation067	\frac { d z } { d t } = b + z ( x - c )
formulaire006-equation046	2 n a _ { n } a _ { n - 2 } - ( n - 1 ) a _ { n - 1 } ^ { 2 } = 0
81_user0	A _ { 2 k } = \frac { 2 R A _ { k } } { 2 R + \sqrt { 4 R ^ { 2 } + A _ { k } ^ { 2 } } }
formulaire012-equation042	f _ { u u } ( 1 + f _ { v } ^ { 2 } ) - 2 f _ { u } f _ { v } f _ { u v } + f _ { v v } ( 1 + f _ { u } ^ { 2 } ) = 0
formulaire023-equation030	( 1 3 8 + 1 1 5 - 7 ) / ( 9 7 - 1 6 8 - 2 - 1 7 3 ) \geq 1
formulaire032-equation052	u _ { p } + u _ { n - p } = u _ { 0 } + u _ { n }
formulaire021-equation051	r _ { 1 } + r _ { 2 } = - \frac { b } { a }
formulaire018-equation060	( ( 9 5 - 8 6 ) \times 3 5 ) \times 1 9 7 \neq - 3 7 8 7 9
formulaire021-equation061	\frac { - b \pm \sqrt { b ^ { 2 } - 4 a c } } { 2 a }
formulaire014-equation042	\sin \theta _ { m a x } = \sqrt { n _ { c } ^ { 2 } - n _ { g } ^ { 2 } }
KME2G3_15_sub_28	z _ { 1 } ^ { 2 } + 1 ^ { z } - z _ { 2 } ^ { 2 } + 2 ^ { z }
formulaire007-equation053	\frac { 1 } { - 1 } = \frac { - 1 } { 1 }
81_rosario	A _ { 2 k } = \frac { 2 R A _ { k } } { 2 R + \sqrt { 4 R ^ { 2 } + A _ { k } ^ { 2 } } }
MfrDB1287	\frac { T _ { 1 } ^ { 2 } } { T _ { 2 } ^ { 2 } } = \frac { a _ { 1 } ^ { 3 } } { a _ { 2 } ^ { 3 } }
200926-131-55	\frac { 1 } { \sin ( x ) + 1 }
MfrDB2485	\frac { a _ { 1 } + a _ { 2 } + a ^ { 3 } } { 1 - x }
129_miguel	1 + 2 + \cdots + n = \frac { n ( n + 1 ) } { 2 }
formulaire022-equation022	p _ { 1 } + p _ { 2 } + p _ { 3 } = p _ { 1 } ^ { 2 } + p _ { 2 } ^ { 2 } + p _ { 3 } ^ { 2 } = 1
108_Fabricio	a ^ { x } a ^ { y } = a ^ { x + y }
MfrDB2637	\frac { T _ { 1 } ^ { 2 } } { T _ { 2 } ^ { 2 } } = \frac { a _ { 1 } ^ { 3 } } { a _ { 2 } ^ { 3 } }
116_herbert	x = \frac { - b \pm \sqrt { b ^ { 2 } - 4 a c } } { 2 a }
formulaire038-equation066	x _ { n } = \frac { n ^ { 2 } } { n + 1 }
formulaire038-equation061	x _ { 1 } + x _ { 2 } = - \frac { b } { a }
75_danilo	c ^ { 2 } = a ^ { 2 } + b ^ { 2 } - 2 a b \cos C
formulaire026-equation029	p _ { e } ^ { 2 } = ( p _ { 1 } - p _ { 2 } ) ^ { 2 } + 2 m _ { e } c ( p _ { 1 } - p _ { 2 } )
116_alfonso	x = \frac { - b \pm \sqrt { b ^ { 2 } - 4 a c } } { 2 a }
formulaire008-equation065	( 8 1 + ( 3 8 + 1 0 7 ) ) \div 1 5 1 \leq 7 8
formulaire011-equation068	e ^ { X + Y } - e ^ { X } e ^ { Y }
formulaire011-equation013	\sin ^ { 2 } ( x ) = 1 - \cos ^ { 2 } ( x )
2009210-947-79	\frac { \frac { \frac { x _ { 4 } } { x _ { 3 } } } { x _ { 2 } } } { x _ { 1 } }
formulaire004-equation016	1 8 9 a _ { 7 } a _ { 4 } ^ { 2 } - 3 1 5 a _ { 7 } a _ { 5 } a _ { 3 } + 2 5 a _ { 5 } ^ { 3 }
MfrDB1494	\frac { T _ { 1 } ^ { 2 } } { T _ { 2 } ^ { 2 } } = \frac { a _ { 1 } ^ { 3 } } { a _ { 2 } ^ { 3 } }
KME2G3_2_sub_30	\sum \limits _ { i = 2 n + 3 m } ^ { 1 0 } i x
200923-1553-30	\frac { - b + \sqrt { b ^ { 2 } - 4 a c } } { 2 a }
2009213-139-79	\frac { \frac { \frac { x _ { 4 } } { x _ { 3 } } } { x _ { 2 } } } { x _ { 1 } }
